key,name,parentKey
1,특식,1
2,찌개,1
3,덮밥/볶음밥,1
4,면,1
5,국/탕,1
6,간편식,1
7,기타,1
8,해장,1
9,일본,2
10,한국,2
11,중국,2
12,동남아,2
13,중동,2
14,미국,2
15,프랑스,2
16,이탈리아,2
17,감자/양파,3
18,참치캔,3
19,돼지고기,3
20,닭고기,3
21,달걀,3
22,자투리채소,3
23,찬밥,3
24,라면,3
